Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2021,110,26.64,8.66,24.02,1.07,28.35,22.64,0.01,0.006,17.65,2.3063421009282745,0.5539833726429715,0.12729132261362514,73.86565482152795,0.04912066045631609,21.829500000000003,5.401370230949825,16.42812976905018,38.29152584287412,0.3,1,5.859461916436267,1.75783857493088,0.006,1.75183857493088,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,111,26.93,7.81,36.71,0.58,27.69,23.54,0.01,0.006,17.37,2.3048450390529616,0.8461086138363422,0.12533659145802287,73.86565482152795,0.04912066045631609,21.3213,4.639727441189643,16.68157255881036,38.34937724272918,0.3,1,5.332049461436022,1.5996148384308067,0.006,1.5936148384308066,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,112,27.22,8.66,38.15,0.94,24.18,25.23,0.0,0.0,17.939999999999998,2.366786238776542,0.9029289500932508,0.12934305149076622,73.86565482152795,0.04912066045631609,18.6186,3.6653237468848476,14.953276253115153,38.405245788688795,0.3,1,5.141060894005754,1.5423182682017262,0.0,1.5423182682017262,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,113,27.5,9.43,29.25,1.25,23.95,25.54,0.0,0.0,18.465,2.4265549311653354,0.7097673173658605,0.13312872777065746,73.86565482152795,0.04912066045631609,18.4415,3.886206664461495,14.555293335538506,38.45915449718322,0.3,1,5.494577907345016,1.6483733722035045,0.0,1.6483733722035045,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,114,28.43,10.44,37.89,0.88,24.92,27.46,0.11,0.066,19.435,2.570123943408414,0.9738199621574481,0.14037042897923274,73.86565482152795,0.04912066045631609,19.1884,3.81921612144527,15.369183878554733,38.511127821970135,0.3,1,5.350814326396773,1.605244297919032,0.066,1.539244297919032,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,115,28.85,9.78,50.32,0.89,22.98,28.9,1.46,0.876,19.315,2.590531000096475,1.3035551992485463,0.13945686254216588,73.86565482152795,0.04912066045631609,17.6946,2.9564926032504304,14.738107396749571,38.561191590960256,0.3,1,4.973430768701352,1.4920292306104055,0.876,0.6160292306104055,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,116,28.52,11.13,45.06,0.45,21.15,28.71,1.52,0.9119999999999999,19.825,2.6099986191203195,1.176065377775616,0.14337458823816493,73.86565482152795,0.04912066045631609,16.2855,2.662115077548739,13.62338492245126,38.60937294168254,0.3,1,4.471475742176776,1.3414427226530328,0.9119999999999999,0.42944272265303285,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,117,29.33,10.43,40.88,0.71,24.24,27.76,0.13,0.078,19.88,2.6732508341881265,1.0928249410161062,0.14380259691513073,73.86565482152795,0.04912066045631609,18.6648,3.4981970404062603,15.166602959593739,38.65570025551027,0.3,1,5.172461683613421,1.5517385050840262,0.078,1.4737385050840262,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,118,29.49,11.56,41.74,0.81,23.69,28.01,3.28,1.9679999999999997,20.525,2.7414489646692886,1.144280797852961,0.14890320387579367,73.86565482152795,0.04912066045631609,18.241300000000003,3.324124422590833,14.91717557740917,38.70020309077086,0.3,1,5.20489525621939,1.561468576865817,1.561468576865817,0.0,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
2021,119,28.51,11.61,53.82,0.95,23.12,27.46,1.94,1.164,20.060000000000002,2.630268554118966,1.4156105358268274,0.14521091993028223,73.86565482152795,0.04912066045631609,17.802400000000002,2.878177589302179,14.924222410697823,38.74291211486216,0.3,1,5.034658276413065,1.5103974829239195,1.164,0.3463974829239196,2843.7644246019827,2831.8400312898416,634.7688447772282,632.1071498414824
