Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2024,111,27.78,11.02,47.53,0.96,21.09,28.51,1.98,1.188,19.4,2.5231200600968275,1.1992389645640222,0.1401034503070449,73.86565482152795,0.04912066045631609,16.2393,2.6443420091672047,13.594957990832796,38.349617723309926,0.3,1,4.722233208138295,1.4166699624414885,1.188,0.22866996244148852,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,112,28.27,11.85,42.92,1.43,24.52,27.62,1.95,1.17,20.06,2.614257029197078,1.122039116931386,0.1452109199302822,73.86565482152795,0.04912066045631609,18.8804,3.573557251965866,15.306842748034136,38.40522354181703,0.3,1,5.63102239973238,1.689306719919714,1.17,0.5193067199197141,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,113,24.35,10.74,63.83,0.94,19.97,28.6,3.69,2.214,17.545,2.1686894026275105,1.3842744456971399,0.1265552913316914,73.86565482152795,0.04912066045631609,15.3769,2.1614159628655965,13.215484037134402,38.45887177813557,0.3,1,4.151897412122711,1.2455692236368132,1.2455692236368132,0.0,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,114,27.18,10.67,53.18,1.04,21.51,27.73,0.37,0.222,18.925,2.4436795389252834,1.2995487788004658,0.13652245439850125,73.86565482152795,0.04912066045631609,16.562700000000003,2.6136258636007272,13.949074136399275,38.5105869856826,0.3,1,4.714866498462776,1.4144599495388326,0.222,1.1924599495388326,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,115,28.64,10.66,39.6,1.03,21.72,28.03,0.17,0.10200000000000001,19.65,2.6032162521950952,1.0308736358692578,0.14201990706477832,73.86565482152795,0.04912066045631609,16.7244,2.9432612098580555,13.781138790141943,38.560395090969244,0.3,1,5.007062367379227,1.502118710213768,0.10200000000000001,1.400118710213768,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,116,28.59,10.55,39.3,0.87,22.04,27.87,0.38,0.22799999999999998,19.57,2.5928506745101183,1.0189903150824764,0.14140424175410932,73.86565482152795,0.04912066045631609,16.9708,3.026076216995117,13.944723783004884,38.608323329019946,0.3,1,4.932402979741657,1.479720893922497,0.22799999999999998,1.251720893922497,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,117,27.74,11.47,42.41,1.51,16.61,27.74,0.06,0.036,19.605,2.538687862168081,1.076657522345483,0.14167331678628048,73.86565482152795,0.04912066045631609,12.7897,1.6214604540120572,11.168239545987943,38.65440017755443,0.3,1,4.5326191933964814,1.3597857580189443,0.036,1.3237857580189443,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,118,27.09,11.71,40.38,1.56,23.35,26.67,0.03,0.018,19.4,2.480088143551791,1.0014595923662133,0.1401034503070449,73.86565482152795,0.04912066045631609,17.9795,3.3494343784669516,14.63006562153305,38.69865529005525,0.3,1,5.504684616329123,1.651405384898737,0.018,1.6334053848987369,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,119,27.98,9.99,35.23,1.46,27.96,25.16,0.0,0.0,18.985,2.5013354018731024,0.8812204620798939,0.13697046830688878,73.86565482152795,0.04912066045631609,21.5292,4.677235629842592,16.851964370157408,38.74111942784343,0.3,1,6.175983320043034,1.8527949960129102,0.0,1.8527949960129102,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
2024,120,27.7,10.4,33.15,1.11,25.9,25.24,0.02,0.012,19.05,2.4878354869852797,0.8247174639356201,0.13745722105530564,73.86565482152795,0.04912066045631609,19.942999999999998,4.219151374805383,15.723848625194615,38.7818243912852,0.3,1,5.661566367134552,1.6984699101403655,0.012,1.6864699101403655,3056.173942399992,3171.1442564057143,808.5116249735429,838.9270519591837
