Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2019,303,30.02,18.85,56.72,1.53,18.4,29.54,0.0,0.0,24.435000000000002,3.2124244968438234,1.8220871746098168,0.1832127004603229,100.04157013765955,0.06652764414154361,14.168,3.5296360493597434,10.638363950640256,25.970464242566194,0.3,1,4.302626358749879,1.2907879076249635,0.0,1.2907879076249635,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,304,31.65,17.62,52.16,2.19,18.99,29.1,0.0,0.0,24.634999999999998,3.3383627699268326,1.7412900207938358,0.18513319018577934,100.04157013765955,0.06652764414154361,14.6223,3.8653175130881605,10.756982486911838,25.80403481874761,0.3,1,5.0336685990564165,1.510100579716925,0.0,1.510100579716925,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,305,30.67,16.69,53.09,1.73,18.93,28.89,0.0,0.0,23.68,3.15443138997963,1.6746876249401859,0.17611346181825033,100.04157013765955,0.06652764414154361,14.5761,3.923169239437033,10.652930760562967,25.639450536947578,0.3,1,4.550121849698106,1.3650365549094319,0.0,1.3650365549094319,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,306,30.06,19.69,53.38,1.59,14.57,32.69,0.0,0.0,24.875,3.275736963592901,1.7485883911658906,0.18746014441376396,100.04157013765955,0.06652764414154361,11.2189,2.5331556950142127,8.685744304985787,25.476791820659404,0.3,1,3.974428312558788,1.1923284937676364,0.0,1.1923284937676364,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,307,29.52,20.89,53.04,1.86,15.4,32.07,0.0,0.0,25.205,3.2989430928271064,1.7497594164354973,0.19069990424698835,100.04157013765955,0.06652764414154361,11.858,2.838029236339605,9.019970763660396,25.316138221254594,0.3,1,4.277854043759179,1.2833562131277536,0.0,1.2833562131277536,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,308,30.87,20.73,55.1,1.65,14.86,32.2,0.0,0.0,25.8,3.4527531416687776,1.9024669810594965,0.19666050184576003,100.04157013765955,0.06652764414154361,11.4422,2.578628799970306,8.863571200029693,25.157568360791895,0.3,1,4.072303510029304,1.2216910530087912,0.0,1.2216910530087912,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,309,33.34,20.09,53.08,2.3,17.72,31.56,0.0,0.0,26.715000000000003,3.7391082363622696,1.9847186518610924,0.20613247044904265,100.04157013765955,0.06652764414154361,13.6444,3.445043846115548,10.199356153884452,25.001159876590886,0.3,1,5.124629133466988,1.5373887400400965,0.0,1.5373887400400965,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,310,29.2,21.44,58.71,1.9,9.53,33.49,0.02,0.016,25.32,3.3036141664244187,1.939551877107776,0.1918399347253447,100.04157013765955,0.06652764414154361,7.3381,0.9479158781518866,6.3901841218481135,24.846989367621795,0.3,1,3.3859588865715646,1.0157876659714693,0.016,0.9997876659714693,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,311,31.02,21.83,54.85,1.89,5.38,34.03,0.02,0.016,26.424999999999997,3.5571845897916194,1.9511157475007033,0.203089764551185,100.04157013765955,0.06652764414154361,4.1426,-0.31931357897493895,4.461913578974939,24.695132342756192,0.3,1,3.1267868087640767,0.9380360426292229,0.016,0.9220360426292229,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,312,31.01,21.55,57.22,2.36,11.8,34.05,0.0,0.0,26.28,3.5337131376987405,2.0219906573912194,0.20158263915031055,100.04157013765955,0.06652764414154361,9.086,1.6634159011997482,7.422584098800252,24.54566317091733,0.3,1,4.1190249046544345,1.2357074713963303,0.0,1.2357074713963303,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,313,34.99,20.94,52.64,2.11,15.99,33.4,0.0,0.0,27.965000000000003,4.048714328929862,2.1312432227486795,0.21969019952871416,100.04157013765955,0.06652764414154361,12.3123,2.933076762925881,9.37922323707412,24.398655033162242,0.3,2,4.927730578289775,1.4783191734869323,0.0,1.4783191734869323,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,314,27.92,21.33,60.25,2.38,8.28,33.54,0.04,0.032,24.625,3.150112390272949,1.897942715139452,0.18503676443873154,100.04157013765955,0.06652764414154361,6.3755999999999995,0.6293570272548576,5.746242972745142,24.254179876721004,0.3,2,3.3836070300304466,1.015082109009134,0.032,0.983082109009134,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
2019,315,28.77,20.63,60.77,1.33,12.53,32.51,0.14,0.11200000000000002,24.7,3.1918920517932117,1.9397127998747348,0.1857609902650545,100.04157013765955,0.06652764414154361,9.6481,1.969598968092492,7.6785010319075075,24.112308371012222,0.3,2,3.2471667442112233,0.974150023263367,0.11200000000000002,0.862150023263367,328.1125645653719,5506.556439629501,46.409132187464195,778.8622969772986
