Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2022,135,34.88,17.83,38.46,1.12,26.68,30.89,0.74,0.444,26.355,3.8137630644755114,1.4667732745972817,0.20236100740286586,84.04696377926336,0.05589123091321014,20.5436,3.8150418361870995,16.728558163812902,39.3850276956351,0.3,1,6.521052089096243,1.9563156267288728,0.444,1.5123156267288729,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,136,35.23,17.12,36.05,1.5,24.08,31.36,0.05,0.03,26.174999999999997,3.823533804336726,1.3783839364633896,0.2004971572355704,84.04696377926336,0.05589123091321014,18.5416,3.3011505277465694,15.24044947225343,39.40917535742847,0.3,1,6.54066412560059,1.962199237680177,0.03,1.9321992376801769,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,137,33.28,18.85,35.99,1.54,25.48,31.27,0.73,0.438,26.065,3.6433021047941265,1.3112244275154061,0.1993652658454065,84.04696377926336,0.05589123091321014,19.619600000000002,3.7019856578220964,15.917614342177906,39.43203978955838,0.3,1,6.673743100922872,2.0021229302768613,0.438,1.5641229302768613,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,138,35.19,16.19,29.71,1.98,28.88,28.46,0.05,0.03,25.689999999999998,3.7612339679487947,1.117462611877587,0.19554687805425533,84.04696377926336,0.05589123091321014,22.2376,4.8213655089177685,17.416234491082232,39.453657040651464,0.3,1,7.856690764223985,2.3570072292671953,0.03,2.3270072292671955,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,139,36.01,16.66,21.09,2.03,30.16,27.07,0.03,0.018,26.335,3.9203140552496194,0.8267942342521447,0.2021531956832317,84.04696377926336,0.05589123091321014,23.223200000000002,5.753626741687924,17.469573258312078,39.47406294446287,0.3,1,8.415358706629526,2.524607611988858,0.018,2.506607611988858,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,140,34.24,14.62,30.77,2.12,29.93,27.6,0.0,0.0,24.43,3.527412403999234,1.0853847967105643,0.18316490419673123,84.04696377926336,0.05589123091321014,23.0461,5.057822740292299,17.9882772597077,39.49329305784197,0.3,1,7.946698478811998,2.3840095436435993,0.0,2.3840095436435993,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,141,35.58,15.97,30.87,1.73,29.75,28.39,0.0,0.0,25.775,3.810128758697606,1.176186747809951,0.19640693786601107,84.04696377926336,0.05589123091321014,22.9075,4.941899163642738,17.96560083635726,39.5113825999509,0.3,1,7.738557398275465,2.3215672194826396,0.0,2.3215672194826396,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,142,35.94,15.96,30.58,1.53,28.49,28.89,0.0,0.0,25.95,3.8675569943820785,1.1826989288820395,0.19818767999703066,84.04696377926336,0.05589123091321014,21.9373,4.621169413364612,17.31613058663539,39.52836639280442,0.3,1,7.386052850974557,2.215815855292367,0.0,2.215815855292367,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,143,35.21,15.88,32.48,1.75,27.26,29.36,0.0,0.0,25.545,3.746334369121827,1.2168094030907692,0.19408703531843569,84.04696377926336,0.05589123091321014,20.9902,4.232052047347772,16.75814795265223,39.54427880319471,0.3,1,7.318657340470728,2.1955972021412182,0.0,2.1955972021412182,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,144,34.94,16.24,29.75,2.07,27.92,28.67,0.0,0.0,25.589999999999996,3.7252050531489167,1.1082485033118026,0.19453910460499343,84.04696377926336,0.05589123091321014,21.4984,4.561503496609699,16.9368965033903,39.559153686061286,0.3,1,7.788713646695001,2.3366140940085,0.0,2.3366140940085,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
2022,145,35.05,15.78,30.45,1.27,29.5,28.57,0.0,0.0,25.415,3.7155654940889065,1.131389692950072,0.19278602317557791,84.04696377926336,0.05589123091321014,22.715,4.917655731135227,17.797344268864773,39.57302432936239,0.3,2,7.159137051377892,2.147741115413367,0.0,2.147741115413367,3534.014558156354,2767.2749318117176,477.56953488599373,373.9560718664483
