Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2011,166,28.56,11.73,53.43,0.86,23.59,31.09,0.22,0.132,20.145,2.6413655831966283,1.4112816311019585,0.1458800067799626,75.407026372732,0.05014567253786678,18.1643,2.9024697681614127,15.261830231838587,39.40042731765294,0.3,1,5.084450599340345,1.5253351798021033,0.132,1.3933351798021034,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,167,28.71,11.5,56.74,0.85,24.96,30.7,1.89,1.134,20.105,2.6480100082291385,1.5024808786692132,0.1455648182175625,75.407026372732,0.05014567253786678,19.2192,3.1016595134591913,16.11754048654081,39.39791280371724,0.3,1,5.267081668931812,1.5801245006795437,1.134,0.4461245006795438,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,168,28.14,12.99,58.57,0.61,23.42,30.63,0.84,0.504,20.565,2.653821939298493,1.5543435098471274,0.14922449492411866,75.407026372732,0.05014567253786678,18.0334,2.7435923432156466,15.289807656784355,39.39508536883485,0.3,1,4.929225291870894,1.4787675875612682,0.504,0.9747675875612682,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,169,28.85,12.61,57.67,1.13,24.45,31.1,0.48,0.288,20.73,2.7155356885024267,1.5660494315593494,0.150556024896739,75.407026372732,0.05014567253786678,18.8265,2.9546075932811364,15.871892406718864,39.39195293166224,0.3,1,5.339590295206304,1.6018770885618911,0.288,1.3138770885618911,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,170,29.38,13.0,58.17,1.42,23.99,30.8,4.39,2.634,21.189999999999998,2.796128906900452,1.6265081851439929,0.15432133086390643,75.407026372732,0.05014567253786678,18.4723,2.8192165431142517,15.65308345688575,39.388521980863054,0.3,1,5.424045075224723,1.627213522567417,1.627213522567417,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,171,23.43,13.69,75.47,2.74,14.18,31.17,11.72,7.032,18.56,2.22503433714643,1.6792334142444107,0.13382368708516712,75.407026372732,0.05014567253786678,10.9186,0.767366227918304,10.151233772081696,39.38479756831452,0.3,1,3.4061517491440383,1.0218455247432114,1.0218455247432114,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,172,19.42,13.08,79.79,2.46,13.88,30.68,9.98,5.988,16.25,1.8806308076254545,1.5005553214043503,0.11777014363335035,75.407026372732,0.05014567253786678,10.687600000000002,0.7297498151443105,9.95785018485569,39.380783304288656,0.3,1,2.9751635302181674,0.8925490590654502,0.8925490590654502,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,173,19.64,12.28,81.45,2.57,11.19,30.82,7.82,4.692,15.96,1.8576739943057867,1.5130754683620633,0.11587542429699065,75.407026372732,0.05014567253786678,8.616299999999999,0.19357687552737105,8.422723124472627,39.37648135460583,0.3,1,2.5568366537178884,0.7670509961153665,0.7670509961153665,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,174,21.76,12.12,79.41,1.52,18.56,31.08,5.7,3.42,16.94,2.0096007975358496,1.5958239933232181,0.12238426841215483,75.407026372732,0.05014567253786678,14.2912,1.6251910518467734,12.666008948153227,39.37189243975842,0.3,1,3.6803500982707718,1.1041050294812316,1.1041050294812316,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,175,19.89,13.08,80.95,1.61,15.47,31.14,12.69,7.613999999999999,16.485,1.9140167054691763,1.5493965230772984,0.11932474789661139,75.407026372732,0.05014567253786678,11.911900000000001,1.0332289255762364,10.878671074423764,39.36701583600206,0.3,1,3.1542871260324223,0.9462861378097267,0.9462861378097267,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,176,22.12,12.19,79.41,0.61,18.01,31.48,10.95,6.569999999999999,17.155,2.0417820876557986,1.6213791558074695,0.12385296888984607,75.407026372732,0.05014567253786678,13.867700000000001,1.5105532989452675,12.357146701054734,39.36184937841143,0.3,2,3.602622202737592,1.0807866608212775,1.0807866608212775,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,177,22.25,12.08,77.77,1.01,17.02,31.72,11.99,7.194,17.165,2.047234021764168,1.5921338987259932,0.12392164276931518,75.407026372732,0.05014567253786678,13.1054,1.3328839633096587,11.772516036690341,39.356389465897735,0.3,2,3.4853904587123004,1.04561713761369,1.04561713761369,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
2011,178,20.65,12.72,81.78,1.2,16.34,31.89,10.8,6.48,16.685,1.952297768789851,1.59658911531634,0.12066149979125003,75.407026372732,0.05014567253786678,12.5818,1.1898105670854844,11.391989432914515,39.35063106818462,0.3,2,3.2798564823840715,0.9839569447152214,0.9839569447152214,0.0,1964.4790778034712,1176.726801298432,70.2101171480869,42.05599718722059
