Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2015,166,21.08,11.7,79.2,2.08,11.06,31.98,6.97,4.1819999999999995,16.39,1.9371555659141895,1.5342272082040382,0.11869420668280664,75.407026372732,0.05014567253786678,8.516200000000001,0.16650118822230747,8.349698811777694,39.40042731765294,0.3,1,2.618931290710941,0.7856793872132822,0.7856793872132822,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,167,21.61,12.05,77.02,1.76,21.01,30.97,2.91,1.746,16.83,1.9944627227303275,1.5361351890468982,0.12163857144897887,75.407026372732,0.05014567253786678,16.1777,2.13886306956902,14.038836930430982,39.39791280371724,0.3,1,4.075178740150865,1.2225536220452595,1.2225536220452595,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,168,22.39,12.66,74.67,0.99,22.5,30.39,2.73,1.638,17.525,2.0861098014157866,1.557698188717168,0.12641550482080804,75.407026372732,0.05014567253786678,17.325,2.440011335887438,14.884988664112562,39.39508536883485,0.3,1,4.388928368312178,1.3166785104936534,1.3166785104936534,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,169,20.12,13.35,80.94,1.14,13.25,32.6,6.08,3.6479999999999997,16.735,1.9440579668957931,1.573520518405455,0.12099766602717248,75.407026372732,0.05014567253786678,10.2025,0.592992465285411,9.60950753471459,39.39195293166224,0.3,1,2.834460439377069,0.8503381318131207,0.8503381318131207,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,170,23.47,12.3,75.29,1.38,16.89,31.49,8.65,5.19,17.884999999999998,2.1604262083807004,1.6265848922898294,0.12895179107947416,75.407026372732,0.05014567253786678,13.0053,1.302905074308529,11.702394925691472,39.388521980863054,0.3,1,3.602651494873622,1.0807954484620865,1.0807954484620865,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,171,17.87,12.82,86.84,1.88,16.04,31.54,8.37,5.021999999999999,15.345,1.763702421077237,1.5315991824634727,0.11194280694505071,75.407026372732,0.05014567253786678,12.3508,1.1321940729990125,11.218605927000986,39.38479756831452,0.3,1,2.991016890732901,0.8973050672198702,0.8973050672198702,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,172,20.73,12.19,78.96,0.97,21.56,30.45,4.04,2.424,16.46,1.9331449896877895,1.5264112838574786,0.11915854103408463,75.407026372732,0.05014567253786678,16.6012,2.2448924084819994,14.356307591518,39.380783304288656,0.3,1,4.086634736534437,1.2259904209603312,1.2259904209603312,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,173,21.56,12.28,78.05,0.92,20.42,31.61,12.41,7.446,16.919999999999998,2.001259930485428,1.5619833757438764,0.12224839943731423,75.407026372732,0.05014567253786678,15.723400000000002,2.0087991580726214,13.71460084192738,39.37648135460583,0.3,1,3.971501035525303,1.1914503106575909,1.1914503106575909,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,174,23.5,11.54,70.08,1.33,17.19,31.38,3.67,2.202,17.52,2.1280571470677163,1.4913424486650555,0.12638057865591565,75.407026372732,0.05014567253786678,13.236300000000002,1.4201941612167726,11.81610583878323,39.37189243975842,0.3,1,3.7189805380971133,1.115694161429134,1.115694161429134,0.0,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
2015,175,22.7,11.17,73.26,0.94,22.23,30.44,1.15,0.69,16.935,2.043241771793401,1.4968789220158456,0.12235028916469279,75.407026372732,0.05014567253786678,17.1171,2.4212696696758313,14.695830330324169,39.36701583600206,0.3,1,4.315365995844497,1.2946097987533491,0.69,0.6046097987533492,1897.7633028939024,1446.4412663538128,90.84553867371481,69.24084568472057
